biome * ffffff ffffff ffffff
biome 0 ffffff 8eb971 71a74d
biome 1 ffffff 91bd59 77ab2f
biome 2 ffffff bfb755 aea42a
biome 3 ffffff 8ab689 6da36b
biome 4 ffffff 79c05a 59ae30
biome 5 ffffff 86b783 68a464
biome 6 e0ffae 6a7039 6a7039
biome 7 ffffff 8eb971 71a74d
biome 8 ffffff bfb755 aea42a
biome 9 ffffff 8eb971 71a74d
biome 10 ffffff 80b497 60a17b
biome 11 ffffff 80b497 60a17b
biome 12 ffffff 80b497 60a17b
biome 13 ffffff 80b497 60a17b
biome 14 ffffff 55c93f 2bbb0f
biome 15 ffffff 55c93f 2bbb0f
biome 16 ffffff 91bd59 77ab2f
biome 17 ffffff bfb755 aea42a
biome 18 ffffff 79c05a 59ae30
biome 19 ffffff 86b783 68a464
biome 20 ffffff 8ab689 6da36b
biome 21 ffffff 59c93c 30bb0b
biome 22 ffffff 59c93c 30bb0b
biome 23 ffffff 64c73f 3eb80f
biome 24 ffffff 8eb971 71a74d
biome 25 ffffff 8ab689 6da36b
biome 26 ffffff 83b593 64a278
biome 27 ffffff 88bb66 6ba940
biome 28 ffffff 88bb66 6ba940
biome 29 ffffff 507a32 59ae30
biome 30 ffffff 80b497 60a17b
biome 31 ffffff 80b497 60a17b
biome 32 ffffff 86b87f 68a55f
biome 33 ffffff 86b87f 68a55f
biome 34 ffffff 8ab689 6da36b
biome 35 ffffff bfb755 aea42a
biome 36 ffffff bfb755 aea42a
biome 37 ffffff 90814d 9e814d
biome 38 ffffff 90814d 9e814d
biome 39 ffffff 90814d 9e814d
biome 40 ffffff 70c15b 4cb031
biome 41 ffffff 8eb971 71a74d
biome 42 ffffff 79c05a 59ae30
biome 43 ffffff 88b977 6aa755
biome 44 ffffff 72c250 4eb224
biome 45 e0ffae 5c694e 496137
biome 46 ffffff 7cbd6b 5bab46
biome 47 ffffff 84b68d 65a371
biome 48 ffffff 80b497 60a17b
biome 49 ffffff 91bd59 77ab2f
biome 50 ffffff b9b75b a6a432
biome 51 ffffff 7cbd6b 5bab46
biome 52 ffffff 61c64b 3bb61e
biome 53 ffffff 554114 e94e14
biome 54 ffffff 90b682 74a362
biome 55 ffffff 4b6754 3b5e3f
biome 56 ffffff 8eb93f 71a73f
biome 57 6c2c2c 572e23 64260f
biome 58 ffffff 90b682 74a362
biome 59 ffffff 80b497 60a17b
biome 100 ffffff 53ca37 29bc05
biome 101 ffffff a6bb4e 91a922
biome 102 ffffff b6b957 a3a52d
biome 103 ffffff c6ff54 c6ff54
biome 104 ffffff c1b668 c1b668
biome 105 ffffff 4e8833 4e8833
biome 126 ffffff 8eb971 71a74d
biome 127 ffffff 74bf26 74bf26
biome 129 ffffff 91bd59 77ab2f
biome 130 ffffff bfb755 aea42a
biome 131 ffffff 8ab689 6da36b
biome 132 ffffff 79c05a 59ae30
biome 133 ffffff 86b783 68a464
biome 134 e0ffae 6a7039 6a7039
biome 140 ffffff 80b497 60a17b
biome 149 ffffff 59c93c 30bb0b
biome 150 ffffff 53ca37 29bc05
biome 151 ffffff 64c73f 3eb80f
biome 155 ffffff 88bb66 6ba940
biome 156 ffffff 88bb66 6ba940
biome 157 ffffff 507a32 59ae30
biome 158 ffffff 80b497 60a17b
biome 160 ffffff 86b783 68a464
biome 161 ffffff 86b783 68a464
biome 162 ffffff 8ab689 6da36b
biome 163 ffffff bfb755 aea42a
biome 164 ffffff bfb755 aea42a
biome 165 ffffff 90814d 9e814d
biome 166 ffffff 90814d 9e814d
biome 167 ffffff 90814d 9e814d
biome 192 cc1188 6d4189 7c6d87
biome 193 0077ee 55ff81 66ffc5
biome 194 2e535f 404840 405340
biome 195 ffffff 8eb971 71a74d
biome 200 ffffff 80b497 60a17b
biome 201 ffffff 8dbb68 72a941
biome 202 ffffff ccb978 89a449
biome 203 ffffff 7fbd64 5fac3c
biome 204 84ff38 545b33 48b22c
biome 205 ffffff 90b879 73a557
biome 206 ffffff b9b75b a6a432
biome 207 ffffff bfb755 aea42a
biome 208 ffffff 6ac44e 45b421
biome 209 ffffff 00ba78 48b22c
biome 210 ffffff 80b497 60a17b
biome 211 ffffff 9cb96d 84a648
